industry, index, s1, r, s2, 
automotiveEngineering, 0, Mercedes-Benz, brought, EQC—and, 
automotiveEngineering, 0, Mercedes-Benz, normalize, sea of EVs, 
automotiveEngineering, 0, Mercedes-Benz, makes, California look, 
automotiveEngineering, 0, Mercedes-Benz, brought like, land, 
automotiveEngineering, 0, land, of, adopters, 
automotiveEngineering, 0, late, quality, adopters, 
automotiveEngineering, 0, cars, were, parts of Europe, 
automotiveEngineering, 0, cars, were, Tesla vehicles, 
automotiveEngineering, 0, cars, are, sight, 
automotiveEngineering, 0, cars, were than, Los Angeles, 
automotiveEngineering, 0, cars, were than, Bay Area, 
automotiveEngineering, 0, cars, were in, , 
automotiveEngineering, 0, larger, quality, cars, 
automotiveEngineering, 0, common, quality, sight, 
automotiveEngineering, 1, Ford, says, shifter cables, 
automotiveEngineering, 1, Ford, snap, selector, 
automotiveEngineering, 1, Ford, broken, Ford Fusion, 
automotiveEngineering, 1, Ford, sedans.The, automaker, 
automotiveEngineering, 1, recall, expands, July, 
automotiveEngineering, 1, July, of, half-million cars.The, 
automotiveEngineering, 1, Ranger, has, transmission problem, 
automotiveEngineering, 1, Ford, says under, recall.Ford, 
automotiveEngineering, 1, recall.Ford, is, recalling, 
automotiveEngineering, 1, Ford, says in, United States, 
automotiveEngineering, 1, Ford, says for, shifter cables, 
automotiveEngineering, 1, shifter cables, cause, rollaways, 
automotiveEngineering, 1, automaker, said, Wednesday.In July, 
automotiveEngineering, 1, Ford, recalled, Fusion and Escape models, 
automotiveEngineering, 1, Ford, says for, shifter cables, 
automotiveEngineering, 1, shifter cables, break, transmission, 
automotiveEngineering, 1, Ford, says at, connection point, 
automotiveEngineering, 1, gear, quality, selector, 
automotiveEngineering, 1, useless, quality, shifter cables, 
automotiveEngineering, 1, latest, quality, recall, 
automotiveEngineering, 1, similar, quality, transmission problem, 
automotiveEngineering, 1, separate, quality, Ranger, 
automotiveEngineering, 1, faulty, quality, shifter cables, 
automotiveEngineering, 1, more, quality, Ford, 
automotiveEngineering, 1, due, quality, transmission, 
automotiveEngineering, 1, 2013–2016, number, Ford Fusion, 
automotiveEngineering, 1, 2018, number, recall, 
automotiveEngineering, 1, 2019, number, Ranger, 
automotiveEngineering, 1, 259182, number, Fusion sedans, 
automotiveEngineering, 1, supplier, had, lubricant, 
automotiveEngineering, 1, bushings, led, Fusion, 
automotiveEngineering, 1, bushings, led, Escape models, 
automotiveEngineering, 1, supplier, had with, National Highway Traffic Safety Administration, 
automotiveEngineering, 1, 2013–2016, number, Fusion, 
automotiveEngineering, 1, 2013–2014, number, Escape models, 
automotiveEngineering, 2, gas prices, fluctuate, buyers, 
automotiveEngineering, 2, gas prices, continue, SUVs and crossovers, 
automotiveEngineering, 2, gas prices, fluctuate in, numbers, 
automotiveEngineering, 2, gas prices, fluctuate by, wayside, 
automotiveEngineering, 2, ever-greater, quality, numbers, 
automotiveEngineering, 2, US borders, make, room, 
automotiveEngineering, 2, US borders, make for, utility vehicles.Despite, 
automotiveEngineering, 2, US borders, make as, sedan, 
automotiveEngineering, 2, US borders, make in, US, 
automotiveEngineering, 2, Mercedes-Benz, move, C-Class production, 
automotiveEngineering, 2, US borders, make out, Alabama plant, 
automotiveEngineering, 2, US borders, make with, situation, 
automotiveEngineering, 2, such, quality, situation, 
automotiveEngineering, 2, least, quality, situation, 
automotiveEngineering, 2, more, quality, utility vehicles.Despite, 
automotiveEngineering, 2, best-selling, quality, sedan, 
automotiveEngineering, 2, one, number, automaker, 
automotiveEngineering, 3, General Motors, appeared, hunger consumers, 
automotiveEngineering, 3, General Motors, have for, SUVs and crossovers, 
automotiveEngineering, 3, giant, quality, General Motors, 
automotiveEngineering, 3, insatiable, quality, hunger consumers, 
